equipment,level,equipment_price_e,start_star,target_star,start_mode,policy,breakthrough,breakthrough_scrolls,rebuild_cost_e,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,rebuild_cost_mean_e,equipment_qty_mean,scrolls_mean,breakthroughs_mean,destroys_mean,attempts_mean
眼罩,160,30.0,23,25,owned,to_12,none,,388.4582,50000,6278.761,1293.7115,4244.2522,8921.158,15263.6933,102.3849,442.7952,5733.5809,14.7598,0.0,0.0,14.7598,97.8499
眼罩,160,30.0,24,25,owned,full,none,,0.0,50000,3774.2378,6.0917,1707.049,5690.3615,10428.9372,2430.1514,1344.0864,0.0,44.8029,0.0,0.0,11.2007,74.1984
眼罩,160,30.0,24,25,owned,to_12,none,,388.4582,50000,4765.0333,6.0917,2149.3401,7194.1509,13171.1415,78.0002,336.0216,4351.0115,11.2007,0.0,0.0,11.2007,74.1984
苦痛,160,45.0,22,25,owned,full,none,,0.0,50000,6135.7317,1597.0413,4015.2904,8706.8923,14309.5046,3353.6481,2782.0836,0.0,61.8241,0.0,0.0,15.456,103.513
苦痛,160,45.0,22,25,owned,to_12,none,,434.3456,50000,7516.6591,1954.4237,4908.7464,10672.4956,17525.9462,107.8839,695.5209,6713.2543,15.456,0.0,0.0,15.456,103.513
苦痛,160,45.0,23,25,owned,full,none,,0.0,50000,5858.7225,1208.3369,3959.6702,8323.5358,14239.1981,3201.9513,2656.7712,0.0,59.0394,0.0,0.0,14.7598,97.8499
苦痛,160,45.0,23,25,owned,to_12,none,,434.3456,50000,7177.4492,1476.3737,4853.1262,10199.7934,17455.6397,102.3849,664.1928,6410.8716,14.7598,0.0,0.0,14.7598,97.8499
苦痛,160,45.0,24,25,owned,full,none,,0.0,50000,4446.281,6.0917,2007.049,6710.3615,12288.9372,2430.1514,2016.1296,0.0,44.8029,0.0,0.0,11.2007,74.1984
苦痛,160,45.0,24,25,owned,to_12,none,,434.3456,50000,5447.016,6.0917,2453.7771,8229.2367,15058.6509,78.0002,504.0324,4864.9835,11.2007,0.0,0.0,11.2007,74.1984
巨大,200,35.0,22,25,owned,full,none,,0.0,50000,8711.5208,2272.3459,5725.1755,12347.8355,20326.3738,6547.678,2163.8428,0.0,61.8241,0.0,0.0,15.456,103.513
巨大,200,35.0,22,25,owned,to_12,none,,504.6924,50000,8552.2062,2231.1155,5622.0994,12121.0681,19955.2999,210.7098,540.9607,7800.5357,15.456,0.0,0.0,15.456,103.513
巨大,200,35.0,23,25,owned,full,none,,0.0,50000,8317.8815,1724.8764,5616.5428,11810.8108,20189.057,6251.5039,2066.3776,0.0,59.0394,0.0,0.0,14.7598,97.8499
巨大,200,35.0,23,25,owned,to_12,none,,504.6924,50000,8165.7429,1693.9535,5513.4667,11594.3511,19817.9832,199.9695,516.5944,7449.179,14.7598,0.0,0.0,14.7598,97.8499
巨大,200,35.0,24,25,owned,full,none,,0.0,50000,6312.7394,11.8979,2861.4234,9506.9553,17438.5475,4744.6386,1568.1008,0.0,44.8029,0.0,0.0,11.2007,74.1984
巨大,200,35.0,24,25,owned,to_12,none,,504.6924,50000,6197.2868,11.8979,2809.8854,9331.726,17119.0117,152.3434,392.0252,5652.9182,11.2007,0.0,0.0,11.2007,74.1984
控制核心,200,220.0,22,25,owned,full,none,,0.0,50000,20148.9756,5232.3459,13125.1755,28627.8355,46966.3738,6547.678,13601.2976,0.0,61.8241,0.0,0.0,15.456,103.513
控制核心,200,220.0,22,25,owned,to_12,none,,716.0556,50000,14678.4039,3816.5683,9585.7315,20841.0588,34224.3756,210.7098,3400.3244,11067.3698,15.456,0.0,0.0,15.456,103.513
控制核心,200,220.0,23,25,owned,full,none,,0.0,50000,19240.1631,3944.8764,13016.5428,27350.8108,46829.057,6251.5039,12988.6592,0.0,59.0394,0.0,0.0,14.7598,97.8499
控制核心,200,220.0,23,25,owned,to_12,none,,716.0556,50000,14016.0005,2883.0432,9477.0989,19917.9786,34087.0588,199.9695,3247.1648,10568.8662,14.7598,0.0,0.0,14.7598,97.8499
控制核心,200,220.0,24,25,owned,full,none,,0.0,50000,14601.2722,11.8979,6561.4234,22086.9553,40378.5475,4744.6386,9856.6336,0.0,44.8029,0.0,0.0,11.2007,74.1984
控制核心,200,220.0,24,25,owned,to_12,none,,716.0556,50000,10636.8402,11.8979,4791.7014,16069.9006,29406.2713,152.3434,2464.1584,8020.3384,11.2007,0.0,0.0,11.2007,74.1984
