equipment,level,equipment_price_e,start_star,target_star,policy,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,equipment_qty_mean,scrolls_mean,destroys_mean,attempts_mean
苦痛,160,20.0,20,22,to_12,50000,733.5496,335.6629,685.0434,1039.326,1401.1386,711.114,22.4356,1.1218,2.1218,1.1218,10.2645
巨大,200,20.0,15,22,full,50000,680.1085,315.1702,576.9145,935.497,1335.7392,570.0805,110.028,5.5014,1.0,3.101,40.0237
巨大,200,20.0,15,22,to_12,50000,751.5406,252.6679,533.5741,1025.8228,1663.8474,546.2106,205.33,10.2665,11.2665,10.2665,178.0421
巨大,200,20.0,16,22,full,50000,676.7399,315.4951,577.1108,925.8099,1329.0714,568.1051,108.6348,5.4317,1.0,3.0293,36.7121
巨大,200,20.0,16,22,to_12,50000,717.4205,243.1596,511.7837,972.5842,1596.8374,527.7765,189.644,9.4822,10.4822,9.4822,142.2901
巨大,200,20.0,17,22,full,50000,685.4928,324.8167,585.6168,934.0715,1342.1209,577.782,107.7108,5.3855,1.0,2.9714,33.3824
巨大,200,20.0,17,22,to_12,50000,788.1965,266.2358,559.508,1068.5341,1747.8141,611.1009,177.0956,8.8548,9.8548,8.8548,110.2849
巨大,200,20.0,18,22,full,50000,660.7586,295.3763,554.3141,909.4618,1311.4024,562.3582,98.4004,4.92,1.0,2.5078,26.6673
巨大,200,20.0,18,22,to_12,50000,664.9276,227.96,473.2112,898.9026,1471.9176,548.4092,116.5184,5.8259,6.8259,5.8259,65.5262
巨大,200,20.0,19,22,full,50000,605.3601,253.9206,485.1733,835.5607,1235.028,520.6877,84.6724,4.2336,1.0,1.8277,18.3601
巨大,200,20.0,19,22,to_12,50000,527.8107,192.5242,381.6496,710.6495,1147.93,466.6275,61.1832,3.0592,4.0592,3.0592,31.6665
巨大,200,20.0,20,22,full,50000,648.2343,341.0603,615.1266,718.5344,1096.2846,599.5819,48.6524,2.4326,1.0,0.9293,8.3551
巨大,200,20.0,20,22,to_12,50000,743.9639,341.0603,689.8504,1048.2147,1421.2861,721.5283,22.4356,1.1218,2.1218,1.1218,10.2645
控制核心,200,200.0,15,22,full,50000,1670.3605,712.1828,1421.0307,2344.5532,3362.6459,570.0805,1100.28,5.5014,1.0,3.101,40.0237
控制核心,200,200.0,15,22,to_12,50000,2599.5106,733.6525,1772.5122,3615.6392,6055.7863,546.2106,2053.3,10.2665,11.2665,10.2665,178.0421
控制核心,200,200.0,16,22,full,50000,1654.4531,709.4237,1409.6021,2310.6002,3348.3276,568.1051,1086.348,5.4317,1.0,3.0293,36.7121
控制核心,200,200.0,16,22,to_12,50000,2424.2165,684.2829,1669.5414,3361.3458,5644.1944,527.7765,1896.44,9.4822,10.4822,9.4822,142.2901
控制核心,200,200.0,17,22,full,50000,1654.89,709.8868,1395.4289,2308.1033,3347.2454,577.782,1077.108,5.3855,1.0,2.9714,33.3824
控制核心,200,200.0,17,22,to_12,50000,2382.0569,647.1561,1628.1168,3318.0439,5519.8631,611.1009,1770.956,8.8548,9.8548,8.8548,110.2849
控制核心,200,200.0,18,22,full,50000,1546.3622,647.6223,1272.4969,2182.8171,3217.6785,562.3582,984.004,4.92,1.0,2.5078,26.6673
控制核心,200,200.0,18,22,to_12,50000,1713.5932,443.6257,1171.1111,2382.0824,4003.7684,548.4092,1165.184,5.8259,6.8259,5.8259,65.5262
控制核心,200,200.0,19,22,full,50000,1367.4117,607.932,1058.1053,1929.7239,2978.9033,520.6877,846.724,4.2336,1.0,1.8277,18.3601
控制核心,200,200.0,19,22,to_12,50000,1078.4595,355.2196,732.3958,1497.1798,2525.9252,466.6275,611.832,3.0592,4.0592,3.0592,31.6665
控制核心,200,200.0,20,22,full,50000,1086.1059,341.0603,975.1266,1258.5344,2176.2846,599.5819,486.524,2.4326,1.0,0.9293,8.3551
控制核心,200,200.0,20,22,to_12,50000,945.8843,341.0603,869.8504,1408.2147,1961.2861,721.5283,224.356,1.1218,2.1218,1.1218,10.2645
